t_sec,target_speed_mmps,measured_speed_mmps,brake_percent,flags,fault_bits,target_steer_millirad,measured_steer_millirad
0.19279,0,0,0,1,1,0,40
0.243283,0,0,0,2,0,0,55
0.293072,0,0,0,2,2,0,55
0.342874,0,0,0,2,2,0,55
0.393029,0,0,0,2,2,0,55
0.443259,0,0,0,2,2,0,52
0.492867,0,0,0,2,2,0,58
0.543002,0,0,0,2,2,0,43
0.598103,0,0,0,2,2,0,70
0.642767,0,0,0,2,2,0,55
0.692522,0,0,0,2,2,0,55
0.742728,0,0,0,2,2,0,58
0.792138,0,0,0,2,2,0,49
0.842676,0,0,0,2,2,0,46
0.892696,0,0,0,2,2,0,55
0.943235,0,0,0,2,2,0,49
0.992339,0,0,0,2,2,0,58
1.04265,0,0,0,2,2,0,70
1.09266,0,0,0,2,2,0,67
1.14234,0,0,0,2,2,0,46
1.19249,0,0,0,2,2,0,58
1.2419,0,0,0,2,2,0,43
1.2921,0,0,0,2,2,0,61
1.34291,0,0,0,2,2,0,40
1.39216,0,0,0,2,2,0,49
1.44296,0,0,0,2,2,0,52
1.49249,0,0,0,2,2,0,58
1.54267,0,0,0,2,2,0,37
1.59277,0,0,0,2,2,0,58
1.64234,0,0,0,2,2,0,49
1.69278,0,0,0,2,2,0,46
1.74236,0,0,0,2,2,0,70
1.79351,0,0,0,2,2,0,43
1.84249,0,0,0,2,2,0,67
1.8921,0,0,0,2,2,0,58
1.94234,0,0,0,2,2,0,58
1.99237,0,0,0,2,2,0,52
2.04323,0,0,0,2,2,0,52
2.09237,0,0,0,2,2,0,73
2.14291,0,0,0,2,2,0,49
2.19253,0,0,0,2,2,0,40
2.24259,0,0,0,2,2,0,52
2.29253,0,0,0,2,2,0,55
2.34259,0,0,0,2,2,0,49
2.39231,0,0,0,2,2,0,37
2.44263,0,0,0,2,2,0,52
2.49262,0,0,0,2,2,0,58
2.54336,0,0,0,2,2,0,40
2.59238,0,0,0,2,2,0,49
2.64241,0,0,0,2,2,0,58
2.69201,0,0,0,2,2,0,61
2.74243,0,0,0,2,2,0,46
2.79275,0,0,0,2,2,0,58
2.84178,0,0,0,2,2,0,43
2.89206,0,0,0,2,2,0,58
2.94239,0,0,0,2,2,0,49
2.99216,0,0,0,2,2,0,58
3.04235,0,0,0,2,2,0,49
3.09254,0,0,0,2,2,0,46
3.1427,0,0,0,2,2,0,40
3.19219,0,0,0,2,2,0,49
3.24226,0,0,0,2,2,0,55
3.29271,0,0,0,2,2,0,58
3.34247,0,0,0,2,2,0,58
3.39276,0,0,0,2,2,0,55
3.44286,0,0,0,2,2,0,49
3.49284,0,0,0,2,2,0,52
3.54258,0,0,0,2,2,0,67
3.59278,0,0,0,2,2,0,58
3.64264,0,0,0,2,2,0,58
3.69258,0,0,0,2,2,0,49
3.74263,0,0,0,2,2,0,46
3.79226,0,0,0,2,2,0,58
3.84254,0,0,0,2,2,0,40
3.89226,0,0,0,2,2,0,61
3.94277,0,0,0,2,2,0,49
3.99254,0,0,0,2,2,0,49
4.0427,0,0,0,2,2,0,49
4.09256,0,0,0,2,2,0,49
4.14239,0,0,0,2,2,0,55
4.19239,0,0,0,2,2,0,58
4.24219,0,0,0,2,2,0,55
4.29222,0,0,0,2,2,0,55
4.34292,0,0,0,2,2,0,40
4.3927,0,0,0,2,2,0,58
4.44289,0,0,0,2,2,0,49
4.4933,0,0,0,2,2,0,67
4.54259,0,0,0,2,2,0,43
4.59257,0,0,0,2,2,0,55
4.64279,0,0,0,2,2,0,58
4.69256,0,0,0,2,2,0,52
4.74242,0,0,0,2,2,0,58
4.79223,0,0,0,2,2,0,49
4.84222,0,0,0,2,2,0,46
4.89253,0,0,0,2,2,0,49
4.9426,0,0,0,2,2,0,67
4.99225,0,0,0,2,2,0,37
5.04239,0,0,0,2,2,0,49
5.09257,0,0,0,2,2,0,52
5.14304,0,0,0,2,2,0,55
5.19287,0,0,0,2,2,0,52
5.2428,0,0,0,2,2,0,82
5.2932,0,0,0,2,2,0,49
5.34301,0,0,0,2,2,0,58
5.39308,0,0,0,2,2,0,82
5.44329,0,0,0,2,2,0,49
5.49256,0,0,0,2,2,0,46
5.54295,0,0,0,2,2,0,52
5.59271,0,0,0,2,2,0,49
5.64273,0,0,0,2,2,0,43
5.69215,0,0,0,2,2,0,70
5.74243,0,0,0,2,2,0,70
5.79212,0,0,0,2,2,0,49
5.84223,0,0,0,2,2,0,46
5.89273,0,0,0,2,2,0,61
5.94288,0,0,0,2,2,0,70
5.99216,0,0,0,2,2,0,58
6.04304,0,0,0,2,2,0,46
6.09319,0,0,0,2,2,0,82
6.14276,0,0,0,2,2,0,55
6.19289,0,0,0,2,2,0,55
6.2421,0,0,0,2,2,0,46
6.29268,0,0,0,2,2,0,43
6.34222,0,0,0,2,2,0,52
6.39264,0,0,0,2,2,0,46
6.44286,0,0,0,2,2,0,43
6.49267,0,0,0,2,2,0,40
6.54263,0,0,0,2,2,0,49
6.59218,0,0,0,2,2,0,58
6.64353,0,0,0,2,2,0,52
6.69284,0,0,0,2,2,0,55
6.74305,0,0,0,2,2,0,49
6.79291,0,0,0,2,2,0,46
6.84238,0,0,0,2,2,0,58
6.89325,0,0,0,2,2,0,58
6.94236,0,0,0,2,2,0,40
6.99211,0,0,0,2,2,0,58
7.04251,0,0,0,2,2,0,64
7.09222,0,0,0,2,2,0,70
7.14236,0,0,0,2,2,0,49
7.19263,0,0,0,2,2,0,79
7.24254,0,0,0,2,2,0,40
7.29272,0,0,0,2,2,0,52
7.34322,0,0,0,2,2,0,52
7.3933,0,0,0,2,2,0,49
7.44277,0,0,0,2,2,0,46
7.49213,0,0,0,2,2,0,61
7.54292,0,0,0,2,2,0,46
7.59312,0,0,0,2,2,0,64
7.64318,0,0,0,2,2,0,58
7.69264,0,0,0,2,2,0,58
7.74275,0,0,0,2,2,0,43
7.79249,0,0,0,2,2,0,52
7.8422,0,0,0,2,2,0,37
7.89228,0,0,0,2,2,0,61
7.94234,0,0,0,2,2,0,67
7.99252,0,0,0,2,2,0,52
8.04262,0,0,0,2,2,0,61
8.09254,0,0,0,2,2,0,58
8.14252,0,0,0,2,2,0,49
8.19206,0,0,0,2,2,0,55
8.24252,0,0,0,2,2,0,52
8.29209,0,0,0,2,2,0,37
8.34294,0,0,0,2,2,0,52
8.39215,0,0,0,2,2,0,67
8.44258,0,0,0,2,2,0,58
8.49224,0,0,0,2,2,0,55
8.54245,0,0,0,2,2,0,49
8.59205,0,0,0,2,2,0,49
8.64268,0,0,0,2,2,0,49
8.69301,0,0,0,2,2,0,58
8.74323,0,0,0,2,2,0,58
8.79243,0,0,0,2,2,0,58
8.84253,0,0,0,2,2,0,52
8.89252,0,0,0,2,2,0,67
8.94225,0,0,0,2,2,0,55
8.9922,0,0,0,2,2,0,55
9.04275,0,0,0,2,2,0,55
9.09252,0,0,0,2,2,0,49
9.14284,0,0,0,2,2,0,61
9.193,0,0,0,2,2,0,40
9.24302,0,0,0,2,2,0,55
9.29253,0,0,0,2,2,0,49
9.34278,0,0,0,2,2,0,76
9.39324,0,0,0,2,2,0,58
9.44213,0,0,0,2,2,0,58
9.49264,0,0,0,2,2,0,61
9.54279,0,0,0,2,2,0,58
9.59283,0,0,0,2,2,0,46
9.64281,0,0,0,2,2,0,49
9.69258,0,0,0,2,2,0,58
9.7423,0,0,0,2,2,0,49
9.79263,0,0,0,2,2,0,55
9.84261,0,0,0,2,2,0,52
9.8926,0,0,0,2,2,0,46
9.9423,0,0,0,2,2,0,49
9.99207,0,0,0,2,2,0,61
10.0426,0,0,0,2,2,0,61
10.0926,0,0,0,2,2,0,58
10.1426,0,0,0,2,2,0,37
10.1923,0,0,0,2,2,0,52
10.2427,0,0,0,2,2,0,49
10.2926,0,0,0,2,2,0,58
10.3421,0,0,0,2,2,0,49
10.3923,0,0,0,2,2,0,46
10.4421,0,0,0,2,2,0,37
10.4926,0,0,0,2,2,0,37
10.5422,0,0,0,2,2,0,49
10.5925,0,0,0,2,2,0,58
10.642,0,0,0,2,2,0,49
10.6922,0,0,0,2,2,0,49
10.7425,0,0,0,2,2,0,37
10.7923,0,0,0,2,2,0,49
10.8428,0,0,0,2,2,0,46
10.892,0,0,0,2,2,0,58
10.9428,0,0,0,2,2,0,58
10.993,0,0,0,2,2,0,58
11.0429,0,0,0,2,2,0,70
11.0925,0,0,0,2,2,0,55
11.1426,0,0,0,2,2,0,58
11.1922,0,0,0,2,2,0,49
11.2426,0,0,0,2,2,0,58
11.292,0,0,0,2,2,0,49
11.3421,0,0,0,2,2,0,49
11.3927,0,0,0,2,2,0,49
11.4423,0,0,0,2,2,0,43
11.4922,0,0,0,2,2,0,64
11.5422,0,0,0,2,2,0,55
11.5927,0,0,0,2,2,0,49
11.6428,0,0,0,2,2,0,58
11.6931,0,0,0,2,2,0,52
11.743,0,0,0,2,2,0,52
11.7919,0,0,0,2,2,0,70
11.8422,0,0,0,2,2,0,52
11.8922,0,0,0,2,2,0,58
11.9422,0,0,0,2,2,0,61
11.9929,0,0,0,2,2,0,58
12.0425,0,0,0,2,2,0,49
12.0925,0,0,0,2,2,0,52
12.1429,0,0,0,2,2,0,52
12.1923,0,0,0,2,2,0,61
12.2426,0,0,0,2,2,0,58
12.2925,0,0,0,2,2,0,52
12.3424,0,0,0,2,2,0,49
12.3929,0,0,0,2,2,0,52
12.4423,0,0,0,2,2,0,40
12.4924,0,0,0,2,2,0,61
12.5422,0,0,0,2,2,0,49
12.5919,0,0,0,2,2,0,52
12.6425,0,0,0,2,2,0,58
12.6922,0,0,0,2,2,0,58
12.7426,0,0,0,2,2,0,58
12.792,0,0,0,2,2,0,70
12.842,0,0,0,2,2,0,58
12.8925,0,0,0,2,2,0,55
12.9422,0,0,0,2,2,0,37
12.9924,0,0,0,2,2,0,52
13.042,0,0,0,2,2,0,58
13.0925,0,0,0,2,2,0,43
13.1425,0,0,0,2,2,0,58
13.1925,0,0,0,2,2,0,58
13.2426,0,0,0,2,2,0,46
13.2922,0,0,0,2,2,0,55
13.3422,0,0,0,2,2,0,46
13.3925,0,0,0,2,2,0,49
13.4431,0,0,0,2,2,0,55
13.492,0,0,0,2,2,0,40
13.5422,0,0,0,2,2,0,49
13.5924,0,0,0,2,2,0,49
13.6424,0,0,0,2,2,0,58
13.6925,0,0,0,2,2,0,55
13.7422,0,0,0,2,2,0,55
13.7925,0,0,0,2,2,0,52
13.8426,0,0,0,2,2,0,67
13.8924,0,0,0,2,2,0,52
13.9426,0,0,0,2,2,0,58
13.9925,0,0,0,2,2,0,37
14.0421,0,0,0,2,2,0,43
14.0924,0,0,0,2,2,0,49
14.1422,0,0,0,2,2,0,70
14.1922,0,0,0,2,2,0,58
14.2426,0,0,0,2,2,0,58
14.2922,0,0,0,2,2,0,49
14.3426,0,0,0,2,2,0,46
14.3925,0,0,0,2,2,0,64
14.4425,0,0,0,2,2,0,52
14.4925,0,0,0,2,2,0,49
14.543,0,0,0,2,2,0,64
14.5923,0,0,0,2,2,0,70
14.6424,0,0,0,2,2,0,43
14.6923,0,0,0,2,2,0,49
14.743,0,0,0,2,2,0,52
14.7925,0,0,0,2,2,0,55
14.8428,0,0,0,2,2,0,52
14.8925,0,0,0,2,2,0,58
14.9427,0,0,0,2,2,0,55
14.9924,0,0,0,2,2,0,52
15.0431,0,0,0,2,2,0,58
15.0931,0,0,0,2,2,0,58
15.1426,0,0,0,2,2,0,64
15.1927,0,0,0,2,2,0,49
15.2424,0,0,0,2,2,0,37
15.2929,0,0,0,2,2,0,64
15.3428,0,0,0,2,2,0,52
15.3925,0,0,0,2,2,0,58
15.4425,0,0,0,2,2,0,67
15.4926,0,0,0,2,2,0,55
15.5425,0,0,0,2,2,0,52
15.5926,0,0,0,2,2,0,52
15.6427,0,0,0,2,2,0,58
15.692,0,0,0,2,2,0,55
15.7431,0,0,0,2,2,0,49
15.7924,0,0,0,2,2,0,58
15.8422,0,0,0,2,2,0,49
15.8921,0,0,0,2,2,0,58
15.9425,0,0,0,2,2,0,58
15.9922,0,0,0,2,2,0,61
16.0424,0,0,0,2,2,0,37
16.0922,0,0,0,2,2,0,46
16.1428,0,0,0,2,2,0,49
16.192,0,0,0,2,2,0,49
16.2421,0,0,0,2,2,0,49
16.2928,0,0,0,2,2,0,40
16.3423,0,0,0,2,2,0,55
16.3921,0,0,0,2,2,0,49
16.442,0,0,0,2,2,0,58
16.4923,0,0,0,2,2,0,61
16.5422,0,0,0,2,2,0,70
16.5921,0,0,0,2,2,0,43
16.6421,0,0,0,2,2,0,52
16.6924,0,0,0,2,2,0,46
16.742,0,0,0,2,2,0,43
16.7924,0,0,0,2,2,0,49
16.8424,0,0,0,2,2,0,49
16.8921,0,0,0,2,2,0,43
16.9425,0,0,0,2,2,0,49
16.9924,0,0,0,2,2,0,61
17.0426,0,0,0,2,2,0,58
17.0924,0,0,0,2,2,0,46
17.1422,0,0,0,2,2,0,40
17.1925,0,0,0,2,2,0,46
17.2424,0,0,0,2,2,0,49
17.2927,0,0,0,2,2,0,61
17.3421,0,0,0,2,2,0,49
17.3925,0,0,0,2,2,0,49
17.4427,0,0,0,2,2,0,40
17.4924,0,0,0,2,2,0,58
17.5422,0,0,0,2,2,0,49
17.5924,0,0,0,2,2,0,58
17.642,0,0,0,2,2,0,43
17.6921,0,0,0,2,2,0,43
17.7422,0,0,0,2,2,0,58
17.7925,0,0,0,2,2,0,46
17.8423,0,0,0,2,2,0,46
17.8929,0,0,0,2,2,0,49
17.9429,0,0,0,2,2,0,61
17.9924,0,0,0,2,2,0,52
18.0429,0,0,0,2,2,0,49
18.0926,0,0,0,2,2,0,58
18.1421,0,0,0,2,2,0,55
18.1925,0,0,0,2,2,0,52
18.2419,0,0,0,2,2,0,58
18.2925,0,0,0,2,2,0,52
18.3425,0,0,0,2,2,0,52
18.3931,0,0,0,2,2,0,61
18.4419,0,0,0,2,2,0,49
18.4923,0,0,0,2,2,0,58
18.5421,0,0,0,2,2,0,55
18.5924,0,0,0,2,2,0,58
18.6431,0,0,0,2,2,0,61
18.6924,0,0,0,2,2,0,61
18.7424,0,0,0,2,2,0,58
18.7921,0,0,0,2,2,0,55
18.8424,0,0,0,2,2,0,49
18.8922,0,0,0,2,2,0,52
18.9426,0,0,0,2,2,0,49
18.9927,0,0,0,2,2,0,58
19.0424,0,0,0,2,2,0,79
19.0924,0,0,0,2,2,0,58
19.1424,0,0,0,2,2,0,49
19.1924,0,0,0,2,2,0,49
19.2421,0,0,0,2,2,0,46
19.2921,0,0,0,2,2,0,46
19.3431,0,0,0,2,2,0,52
19.3925,0,0,0,2,2,0,55
19.4425,0,0,0,2,2,0,52
19.4924,0,0,0,2,2,0,58
19.5424,0,0,0,2,2,0,49
19.593,0,0,0,2,2,0,40
19.6424,0,0,0,2,2,0,58
19.6929,0,0,0,2,2,0,61
19.7421,0,0,0,2,2,0,58
19.7926,0,0,0,2,2,0,43
19.843,0,0,0,2,2,0,49
19.8924,0,0,0,2,2,0,46
19.9425,0,0,0,2,2,0,55
19.992,0,0,0,2,2,0,52
20.0423,0,0,0,2,2,0,55
20.0924,0,0,0,2,2,0,46
20.1424,0,0,0,2,2,0,70
20.1925,0,0,0,2,2,0,49
20.2431,0,0,0,2,2,0,61
20.2923,0,0,0,2,2,0,55
20.3425,0,0,0,2,2,0,70
20.3924,0,0,0,2,2,0,49
20.4422,0,0,0,2,2,0,55
20.4926,0,0,0,2,2,0,46
20.542,0,0,0,2,2,0,58
20.5924,0,0,0,2,2,0,58
20.6424,0,0,0,2,2,0,52
20.6928,0,0,0,2,2,0,49
20.7424,0,0,0,2,2,0,58
20.7921,0,0,0,2,2,0,58
20.842,0,0,0,2,2,0,55
20.8921,0,0,0,2,2,0,49
20.9427,0,0,0,2,2,0,46
20.9921,0,0,0,2,2,0,55
21.042,0,0,0,2,2,0,58
21.0925,0,0,0,2,2,0,49
